2019-01-01,1000.00
2019-01-03,500.00
2019-01-28,600.00
2019-01-29,400.00
2019-01-31,200.00
2019-02-27,2400.00
2019-02-28,3000.00
2019-03-23,100.00
2019-03-28,300.00
2019-03-31,700.00
2019-04-13,600.00
2019-04-23,500.00
2019-04-29,200.00
2019-04-30,900.00
2019-05-27,5000.00
2019-05-26,3000.00
2019-05-28,2000.00
2019-05-31,300.00
2019-06-01,1000.00
2019-06-03,900.00
2019-06-28,2000.00
2019-06-30,1800.00
2019-07-05,1500.00
2019-07-11,1100.00
2019-07-12,500.00
2019-07-19,600.00
2019-07-26,800.00
2019-07-29,1300.00
2019-07-31,1700.00
2019-08-28,1900.00
2019-08-30,2500.00
2019-08-31,0.00
2019-09-30,100.00
2019-09-27,400.00
2019-09-30,0.00
2019-10-01,700.00
2019-10-28,0.00
2019-10-30,800.00
2019-10-31,500.00
2019-11-01,400.00
2019-11-27,1600.00
2019-11-30,1500.00
2019-12-04,2000.00
2019-12-23,100.00
2019-12-31,300.00
